name,name_eng
Республика Адыгея (Адыгея),adygei
Республика Алтай,altai_rep
Алтайский край,altai_terr
Амурская область,amur
Архангельская область,arkhangelsk
Астраханская область,astrakhan
Республика Башкортостан,bashkortostan
Белгородская область,belgorod
Брянская область,bryansk
Республика Бурятия,buriat
Чеченская Республика,chechen
Челябинская область,chelyabinsk
Чукотский автономный округ,chukot
Чувашская Республика - Чувашия,chuvash
Республика Крым,crimea
Республика Дагестан,dagestan
Республика Ингушетия,ingush
Иркутская область,irkutsk
Ивановская область,ivanovo
Еврейская автономная область,jewish_aut
Кабардино-Балкарская Республика,kabardin-balkar
Калининградская область,kaliningrad
Республика Калмыкия,kalmyk
Калужская область,kaluga
Камчатский край,kamchatka_krai
Карачаево-Черкесская Республика,karachaev-cherkess
Республика Карелия,karel
Кемеровская область - Кузбасс,kemerovo
Хабаровский край,khabarovsk
Республика Хакасия,khakas
Ханты-Мансийский автономный округ - Югра,khantu-mansy
Кировская область,kirov
Республика Коми,komi
Костромская область,kostroma
Краснодарский край,krasnodar
Красноярский край,krasnoyarsk
Курганская область,kurgan
Курская область,kursk
Ленинградская область,leningrad-reg
Липецкая область,lipetsk
Магаданская область,magadan
Республика Марий Эл,mari-el
Республика Мордовия,mordov
город Москва,moscow_city
Московская область,moscow_reg
Мурманская область,murmansk
Республика Северная Осетия - Алания,n_osset-alania
Ненецкий автономный округ,nenetsk
Нижегородская область,nnov
Новгородская область,novgorod
Новосибирская область,novosibirsk
Омская область,omsk
Орловская область,orel
Оренбургская область,orenburg
Пензенская область,penza
Пермский край,permkrai
Приморский край,primorsk
Псковская область,pskov
Ростовская область,rostov
Рязанская область,ryazan
Сахалинская область,sakhalin
Самарская область,samara
Саратовская область,saratov
город Севастополь,sevastopol
Смоленская область,smolensk
город Санкт-Петербург,st-petersburg
Ставропольский край,stavropol
Свердловская область,sverdlovsk
Тамбовская область,tambov
Республика Татарстан (Татарстан),tatarstan
Томская область,tomsk
Тульская область,tula
Тверская область,tver
Тюменская область,tyumen
Республика Тыва,tyva
Удмуртская Республика,udmurt
Ульяновская область,ulyanovsk
Владимирская область,vladimir
Волгоградская область,volgograd
Вологодская область,vologod
Воронежская область,voronezh
Республика Саха (Якутия),yakut
Ямало-Ненецкий автономный округ,yamal-nenetsk
Ярославская область,yaroslavl
Забайкальский край,zabkray
Город Байконур (Республика Казахстан),
Территория за пределами РФ,
