date,uik,"Число участников голосования, включенных в список участников голосования на момент окончания голосования","Число бюллетеней, выданных участникам голосования","Число бюллетеней, содержащихся в ящиках для голосования",Число недействительных бюллетеней,ДА,НЕТ
01.07.2020,УИК №912,201,195,195,0,192,3
01.07.2020,УИК №714,426,233,233,2,162,69
01.07.2020,УИК №1633,1287,391,391,4,231,156
01.07.2020,УИК №57,2600,1317,1316,7,884,425
01.07.2020,УИК №49,196,153,153,3,114,36
01.07.2020,УИК №3507,1064,868,868,4,783,81
01.07.2020,УИК №1027,167,108,108,0,71,37
01.07.2020,УИК №731,311,297,297,0,253,44
01.07.2020,УИК №13,521,423,423,25,340,58
01.07.2020,УИК №2121,1913,1195,1195,14,771,410
01.07.2020,УИК №1818,162,139,139,0,129,10
01.07.2020,УИК №708,661,601,601,1,577,23
01.07.2020,УИК №2517,312,260,260,0,193,67
01.07.2020,УИК №235,2188,1583,1579,8,1143,428
01.07.2020,УИК №1819,328,302,302,0,260,42
01.07.2020,УИК №2219,556,524,524,3,477,44
01.07.2020,УИК №1744,376,273,273,4,200,69
01.07.2020,УИК №2015,729,423,423,2,347,74
01.07.2020,УИК №79,2132,1175,1175,13,787,375
01.07.2020,УИК №411,1067,604,604,18,426,160
01.07.2020,УИК №166,770,350,350,0,279,71
01.07.2020,УИК №820,383,325,325,2,300,23
